customer_id,customer_name,email,signup_date,acquisition_channel,country
102,James Bell,escobarrobert@example.org,2024-08-22,social,Burkina Faso
103,Peter Landry,andrewstammy@example.net,2024-02-02,organic,Indonesia
104,Angela Torres,mpierce@example.org,2024-11-19,email,Pakistan
105,Jon Lyons,kyle26@example.com,2025-02-14,direct,Iran
106,William Tanner,sknight@example.com,2024-10-01,paid_search,Cape Verde
107,Brian Johnson,kimberly81@example.com,2024-03-08,organic,Nigeria
108,Jimmy Hall,robertsdanielle@example.org,2024-08-04,social,Bhutan
109,Anthony Sweeney,marvinavila@example.com,2025-08-03,paid_search,Tanzania
110,Steven Lewis,stephanie50@example.org,2024-11-18,paid_search,Serbia
111,Isaac Wright,scottkatelyn@example.net,2024-08-05,paid_search,Niger
112,Shawn Curtis,fthompson@example.org,2025-11-02,paid_search,Macao
113,Kathy Drake,lisa89@example.net,2025-05-26,direct,Montenegro
114,Tracy Carr,marcmurphy@example.com,2025-02-09,referral,Dominican Republic
115,Jennifer Bryant,timothy22@example.com,2025-10-20,social,Niger
116,Austin Caldwell,chad17@example.org,2025-04-14,referral,Cape Verde
117,Sierra Brown,destiny28@example.net,2024-05-26,referral,Sudan
118,Kerry Savage,john19@example.org,2024-09-28,paid_search,Cyprus
119,Casey Ward,johnsoncourtney@example.com,2024-05-22,referral,Samoa
120,Larry Mcbride,mauriceparker@example.com,2024-09-09,email,Tajikistan
121,David Smith,morrisjoshua@example.net,2025-07-28,referral,Yemen
122,Gabriel Jimenez,jeremydavis@example.com,2025-07-05,referral,Nigeria
123,Allison Doyle,bettywatson@example.org,2024-09-26,organic,Indonesia
124,Mary Hunt,sean43@example.com,2025-08-21,paid_search,Aruba
125,Laura Shields,nguyentina@example.com,2025-03-14,paid_search,Azerbaijan
126,Paula Yu,johnsonronnie@example.net,2025-08-20,organic,British Indian Ocean Territory (Chagos Archipelago)
127,Ryan Hamilton,nflores@example.net,2025-02-12,referral,Qatar
128,Manuel Howard,gwyatt@example.net,2025-01-05,referral,Mexico
129,Lee Huynh,taylortiffany@example.net,2024-08-12,paid_search,Sudan
130,George Meyer,michael69@example.org,2024-05-21,email,Cyprus
131,Daniel Fitzgerald,karaadams@example.com,2025-06-05,organic,Cape Verde
132,Lori Aguilar,marilynlawson@example.net,2025-05-20,paid_search,Malaysia
133,Christopher King,roberto82@example.net,2024-04-03,paid_search,Venezuela
134,Joe Collier,steven19@example.net,2024-02-18,organic,Lao People's Democratic Republic
135,Christopher Blankenship,marissa28@example.com,2024-04-22,direct,Estonia
136,Nicholas Willis,wilsonsheila@example.org,2024-06-05,organic,Estonia
137,Regina Gallegos,hollandjames@example.com,2025-10-04,email,Malaysia
138,Rachel Ruiz,breid@example.com,2024-06-12,social,Saint Kitts and Nevis
139,Tasha Mcdonald,harveyallen@example.net,2025-11-27,organic,Luxembourg
140,Jeanette Morgan,isaiahvillegas@example.com,2025-03-08,direct,Cayman Islands
141,Robin Sanchez,brittneypierce@example.org,2025-09-02,direct,Pakistan
142,Luis Jimenez,rebeccahenderson@example.org,2024-03-06,paid_search,Isle of Man
143,Diana Martin,swhite@example.org,2025-01-29,organic,Holy See (Vatican City State)
144,Nicholas Whitaker,abigailherrera@example.com,2025-01-25,organic,Spain
145,Brent Phillips,davisolivia@example.org,2025-09-02,paid_search,Jordan
146,Jenna Ross,davidyoder@example.net,2025-04-24,paid_search,Barbados
147,Anita Salazar,diane59@example.net,2025-06-25,social,Bosnia and Herzegovina
148,Natalie Nelson,rchase@example.org,2024-09-14,email,Oman
149,Travis Alvarado,stephensonerik@example.org,2025-07-20,paid_search,Niue
150,Lisa Thomas,oscar23@example.org,2024-01-12,paid_search,Mali
151,Kelly Schultz,lynnglass@example.com,2025-11-27,direct,Netherlands
152,Sarah Burgess,elizabeth89@example.org,2024-04-27,paid_search,Fiji
153,Hannah Jenkins,yfry@example.com,2025-11-29,,Reunion
154,Patricia Strong,dwright@example.org,2025-07-03,organic,Botswana
155,Daniel Page,ginageorge@example.com,2024-09-30,direct,Tonga
156,Thomas Atkins,marie31@example.com,2025-10-18,paid_search,Tonga
157,Lisa Solis,idavis@example.com,2024-12-14,social,Cameroon
158,Christopher Weber,kmorrison@example.com,2024-04-24,social,British Indian Ocean Territory (Chagos Archipelago)
159,David May,npearson@example.org,2024-10-27,paid_search,Belgium
160,Cole Conley,dmorgan@example.net,2025-03-21,social,Turkey
161,Bryan Lewis,kevin30@example.org,2024-06-10,organic,China
162,Anthony Russell,beckythompson@example.net,2025-04-09,social,Ireland
163,Jane Francis,joshuadunn@example.com,2024-01-04,social,Cameroon
164,Philip Mays,lindsaysims@example.org,2024-09-26,email,Moldova
165,David Murray,rhonda96@example.net,2025-05-27,paid_search,Colombia
166,Shannon Smith,wreyes@example.net,2024-07-01,referral,Argentina
167,Steven Moore,sharonpeters@example.net,2025-06-03,organic,Mexico
168,Bradley Martinez,lgreen@example.com,2024-04-18,paid_search,Antarctica (the territory South of 60 deg S)
169,James Johnston,wrightjamie@example.org,2025-10-02,paid_search,Gibraltar
170,Trevor Martinez,wesley89@example.org,2024-11-01,email,Israel
171,Haley Santiago,ronald15@example.net,2025-10-16,social,Dominican Republic
172,Yolanda Duncan,jared60@example.com,2025-06-03,paid_search,Ukraine
173,Preston Russell,gail60@example.org,2025-09-15,email,Kenya
174,Julie Williams,james66@example.org,2024-07-22,paid_search,Sri Lanka
175,Betty Walters,smoreno@example.com,2024-06-05,social,Netherlands Antilles
176,Ryan Walker,christine18@example.org,2025-01-17,paid_search,Mauritania
177,Bryan Lewis,rluna@example.org,2024-06-14,social,Tunisia
178,Amanda Howard,rhonda93@example.com,2025-07-06,organic,Romania
179,Sandra Robinson,wchung@example.com,2025-06-27,direct,Mozambique
180,Peggy Collins,jennifer29@example.org,2024-01-01,paid_search,Guyana
181,Craig Porter,danielpatton@example.org,2025-09-05,organic,Sao Tome and Principe
182,Carlos Dawson,yedwards@example.com,2024-11-27,paid_search,Panama
183,Nicole Reynolds,bblake@example.com,2025-05-15,direct,Andorra
184,Jennifer Graham,leonalexis@example.org,2024-01-20,referral,Grenada
185,Madison Riley,leeashley@example.org,2024-04-24,paid_search,Marshall Islands
186,Logan Smith,wrightchristian@example.org,2025-01-06,social,Namibia
187,Alex Martinez,justinstrickland@example.net,2024-11-10,referral,Northern Mariana Islands
188,James Yates,jeancraig@example.net,2024-09-02,email,Pitcairn Islands
189,Daniel Brown,jeff23@example.org,2024-02-29,email,Svalbard & Jan Mayen Islands
190,Raymond Franklin DDS,simmonskim@example.com,2024-09-03,paid_search,Tajikistan
191,Jessica Romero,logan52@example.org,2025-08-03,paid_search,Liberia
192,Christopher Moore,liuscott@example.net,2024-03-21,referral,Montenegro
193,Michael Thompson,jcummings@example.net,2024-03-28,direct,Puerto Rico
194,Thomas Edwards,fnichols@example.net,2025-05-12,social,Antarctica (the territory South of 60 deg S)
195,Johnathan Stephenson,aaronpadilla@example.org,2024-03-11,,San Marino
196,Tara Hill,hbrooks@example.net,2025-06-29,organic,Zambia
197,Madeline Smith,anna48@example.net,2024-05-08,social,Uruguay
198,Derek Bradshaw,davidabbott@example.org,2024-05-11,referral,Tuvalu
199,Kara Frazier,romandeborah@example.net,2025-11-06,referral,Poland
200,James Ho,danielle33@example.org,2025-05-01,social,Taiwan
201,Kyle Campos,droberts@example.org,2025-07-16,social,Egypt
202,Jennifer Anderson,mary06@example.net,2024-06-18,paid_search,Qatar
203,Joseph Mendez,kirsten37@example.org,2024-09-28,paid_search,Lao People's Democratic Republic
204,Christopher Mullen,daniel42@example.net,2025-06-24,,Bahamas
205,James Stewart,cortezjared@example.org,2025-09-13,social,Bulgaria
206,Alexis Campbell,jessicascott@example.net,2025-03-09,paid_search,Cameroon
207,Claudia Kaufman,gsmith@example.net,2024-08-04,paid_search,Mauritius
208,Michael Gonzalez,frankashley@example.org,2025-07-06,social,Congo
209,David Dawson,michelle74@example.org,2025-12-07,paid_search,Ecuador
210,Sonia Barajas,patrick97@example.net,2024-07-24,paid_search,Cambodia
211,Nancy Carter,zjohnson@example.net,2025-12-31,email,Lesotho
212,Brian Holmes,rosecrystal@example.org,2024-11-15,social,China
213,Gary Newman,michellehines@example.org,2025-02-12,social,Uzbekistan
214,Natalie Warner,amills@example.org,2025-11-18,paid_search,Suriname
215,Sandra Wilkerson,aliciasanchez@example.com,2025-10-27,social,Guinea-Bissau
216,Brenda Bennett,pcarter@example.net,2025-01-17,paid_search,El Salvador
217,Anthony Boyd,davisfrank@example.com,2025-03-24,organic,Congo
218,Spencer Garza,thomas50@example.com,2025-06-13,social,Faroe Islands
219,Lisa Ho,bwebb@example.org,2025-04-07,social,French Polynesia
220,Brent York,smithshelby@example.org,2024-05-03,referral,Timor-Leste
221,Dr. Antonio Sanchez DDS,carlcalderon@example.com,2024-09-10,social,Serbia
222,Nicholas Peterson,melaniefisher@example.net,2024-08-18,email,Botswana
223,Keith Williams,mfletcher@example.com,2024-03-06,paid_search,Cambodia
224,Ashley Keith,kaitlinmoon@example.net,2024-12-12,organic,Central African Republic
225,Christopher Martinez,daniel26@example.com,2024-01-22,paid_search,Hong Kong
226,Robert Nguyen,lopezjacob@example.net,2025-08-25,paid_search,Heard Island and McDonald Islands
227,Derrick Boyd,erikchoi@example.net,2025-07-21,direct,Mauritius
228,Katherine Ortiz,thampton@example.com,2024-08-23,organic,Malaysia
229,Taylor Johnson,pduarte@example.net,2025-08-25,referral,El Salvador
230,David Velez,qmelton@example.net,2024-08-13,social,Heard Island and McDonald Islands
231,Brittney Martinez,chadharrington@example.com,2024-01-08,social,Reunion
232,Eric Taylor,carol46@example.net,2024-03-13,email,Dominica
233,Samantha Brown,joshuavazquez@example.com,2025-12-25,email,Cook Islands
234,Christopher Anderson,amber87@example.net,2025-10-08,organic,Afghanistan
235,Katherine Vincent,blakesanchez@example.org,2024-03-01,paid_search,Sierra Leone
236,Heather Ryan,ashleybentley@example.com,2024-08-22,social,Puerto Rico
237,Anthony Bush,salazarstephanie@example.org,2024-03-10,paid_search,Dominican Republic
238,Frank Stevens,pamelamoore@example.net,2024-02-02,paid_search,Ghana
239,Brian Patrick,mhart@example.net,2024-12-04,social,Germany
240,Rebecca Caldwell,timothy39@example.org,2024-03-13,paid_search,Jamaica
241,Tanya Campbell,elizabeth27@example.org,2025-06-10,direct,Wallis and Futuna
242,Gary Lee,michael01@example.org,2024-08-31,direct,Tuvalu
243,Christian Martin,slawrence@example.org,2024-10-12,direct,Comoros
244,Angel Welch,zacharyreed@example.net,2025-11-16,organic,Uruguay
245,David Mitchell,xsmall@example.net,2025-05-12,paid_search,Saint Martin
246,Brian Avery,pattersonhenry@example.net,2024-08-07,direct,Cuba
247,Michele Carter,zbishop@example.org,2025-07-06,organic,Ghana
248,Michael Knight,walkercolin@example.org,2024-05-15,direct,Zimbabwe
249,Regina Shah,tweber@example.org,2025-08-07,direct,Cyprus
250,William Brown,guerreromargaret@example.org,2025-08-13,referral,El Salvador
251,Megan Stuart,sarah47@example.org,2025-04-29,paid_search,Iraq
252,Anthony Ferguson,lunadustin@example.net,2024-09-05,,Poland
253,Steven Malone,bowmanjoshua@example.org,2025-04-29,referral,Congo
254,Marvin Casey,davidsonkelly@example.net,2025-02-20,organic,Canada
255,Leslie Williams,jonesjohn@example.org,2024-07-13,paid_search,Gabon
256,Elizabeth Wright,ydavis@example.org,2024-04-06,email,Guadeloupe
257,Charles Conner,santanaglenn@example.org,2024-04-09,direct,Chile
258,Michael Rodriguez,cobbmiranda@example.com,2025-11-05,social,Sao Tome and Principe
259,Colleen Johnston,ronaldjones@example.com,2025-03-17,email,Malaysia
260,Lori Simon,benjamin98@example.org,2024-12-28,paid_search,Argentina
261,Lauren Carr,ashley41@example.org,2025-03-09,social,Guyana
262,Matthew Charles,dawn35@example.net,2025-02-24,direct,Puerto Rico
263,George Mcgee,jacob79@example.com,2025-04-23,paid_search,Bermuda
264,Megan Castillo,danielleyoung@example.org,2024-02-25,email,Uruguay
265,Jennifer Simon,amandarodriguez@example.com,2025-11-20,referral,Cyprus
266,Russell Jones,elizabethvaughn@example.net,2025-10-31,social,Congo
267,James Wells,sharonayala@example.org,2025-10-23,social,Cote d'Ivoire
268,Brian Walker,stephaniecastillo@example.com,2024-04-10,social,British Virgin Islands
269,Juan Kelly,james03@example.com,2024-03-03,organic,Somalia
270,Deanna Potter,charles04@example.org,2025-02-16,paid_search,Cyprus
271,Amy Chavez,richardallen@example.net,2024-12-13,referral,Isle of Man
272,Amber Mendoza,karen60@example.net,2024-04-21,referral,Guernsey
273,Michael Gregory,jonesjessica@example.com,2024-09-11,referral,Honduras
274,Andre Sanford,christensenteresa@example.net,2024-07-15,direct,Kuwait
275,David Romero,tgarcia@example.net,2024-07-13,email,Mali
276,Rebecca Faulkner,arush@example.org,2025-07-03,email,Swaziland
277,Dylan Odonnell,tiffanybuchanan@example.org,2025-04-04,social,Sierra Leone
278,Pamela Miller,regina97@example.com,2024-05-23,social,Canada
279,Alicia Williams,patrick87@example.org,2025-03-08,social,Tonga
280,Roger Baldwin,ocarroll@example.net,2024-07-06,social,Marshall Islands
281,Joshua Carpenter,lesliebrown@example.org,2024-10-12,referral,Brunei Darussalam
282,Marilyn Hicks,ubrown@example.com,2025-04-18,organic,Saint Barthelemy
283,Erik Hart,abigail06@example.org,2024-09-12,organic,Ukraine
284,Ronald Arnold,susanross@example.net,2024-03-18,paid_search,Norway
285,William Williams,steven50@example.com,2025-03-29,email,Svalbard & Jan Mayen Islands
286,Linda Brock,greenemichael@example.net,2025-07-17,paid_search,British Virgin Islands
287,Christopher Turner,zgray@example.com,2024-04-10,organic,Iraq
288,Cody Stevens,ashley96@example.org,2024-02-21,email,Ukraine
289,Rebecca Nguyen,deborahperry@example.com,2025-10-29,paid_search,Chad
290,Emily Bailey,angela64@example.org,2025-07-07,,Ecuador
291,Monica Bauer,mia94@example.org,2024-01-16,paid_search,Macao
292,Natalie Benton,rita80@example.net,2024-04-05,,Wallis and Futuna
293,Jennifer Barron,susan43@example.com,2024-08-30,referral,Poland
294,James Reyes,victoriachavez@example.net,2024-06-19,organic,Portugal
295,Amanda Farley,nunezvincent@example.com,2025-02-20,paid_search,Dominican Republic
296,Scott Landry,phillipanderson@example.net,2025-05-12,email,Ghana
297,Isaiah Hernandez,cynthiadiaz@example.com,2025-05-07,,Jersey
298,Lisa Bates,kerry35@example.org,2024-08-06,paid_search,Japan
299,Christopher Lee,ewilliams@example.com,2025-02-14,,Vietnam
300,Mark Marshall,qlynch@example.com,2024-03-01,paid_search,Faroe Islands
301,Samuel Galvan,phyllisparsons@example.com,2024-06-17,paid_search,Slovenia
302,Sarah Harris,vwyatt@example.org,2025-01-23,email,Faroe Islands
303,Heather Simon,mario68@example.net,2024-01-03,email,New Zealand
304,Susan Diaz,yvonne38@example.com,2025-02-03,social,Ghana
305,Jennifer Banks,owensmary@example.net,2024-09-28,social,Hungary
306,Robert Wells,timothyshaw@example.net,2025-04-10,direct,Jamaica
307,Breanna Martin,karenhayes@example.com,2024-10-19,email,Antarctica (the territory South of 60 deg S)
308,Paul Rojas,maylisa@example.org,2025-03-09,organic,Grenada
309,Judith Olson,amy72@example.org,2025-12-14,social,Netherlands Antilles
310,Karen Ray,jeffrey69@example.com,2025-07-23,paid_search,Tunisia
311,Pamela Anderson,marymoore@example.com,2025-11-08,organic,French Polynesia
312,Karen Harris,frederick48@example.org,2025-05-13,paid_search,Guatemala
313,Mark Lee,qgonzalez@example.com,2024-06-07,paid_search,Nauru
314,Jordan Bauer,wnichols@example.com,2024-07-13,direct,Malawi
315,Samuel Malone,iwebster@example.org,2024-10-30,referral,Timor-Leste
316,Patrick Jones,williamsryan@example.org,2024-08-10,social,San Marino
317,John Rodgers,ojones@example.com,2024-02-29,organic,Oman
318,Thomas Conway,carlossweeney@example.org,2025-08-16,paid_search,Eritrea
319,Sharon Williams,crodgers@example.org,2025-07-09,paid_search,Bhutan
320,Justin Smith,michele71@example.org,2024-03-03,paid_search,Guyana
321,John Campbell,morrowashley@example.com,2024-11-17,email,Lesotho
322,Matthew Rivers,crystal13@example.com,2024-02-28,social,Mayotte
323,Ronnie Williams,gregorypena@example.com,2024-02-21,,Syrian Arab Republic
324,Joshua Fuentes,bishopsamantha@example.net,2025-08-21,paid_search,China
325,Nicole Nguyen,joyce79@example.org,2025-05-03,direct,Eritrea
326,Melissa Quinn,sanchezmicheal@example.net,2025-05-29,social,Suriname
327,Elijah Williams,thuff@example.com,2025-06-27,email,Saint Martin
328,Phillip Reeves,martintimothy@example.net,2024-06-10,social,Sweden
329,Matthew Miranda,georgemaria@example.org,2024-02-28,organic,Saint Pierre and Miquelon
330,Karen Valenzuela,edwardsscott@example.net,2025-06-04,paid_search,Antigua and Barbuda
331,Ricky Hart,patricia36@example.org,2024-03-23,organic,Malaysia
332,Lisa Ware,downsjoseph@example.net,2024-07-09,social,Tuvalu
333,Timothy Lucas,misty10@example.com,2024-03-11,paid_search,Taiwan
334,Cheryl Miller,hodgejulie@example.org,2025-09-01,paid_search,Martinique
335,Brooke White,philipsmith@example.org,2024-03-10,paid_search,Saint Martin
336,Roberto Martinez,barbararogers@example.org,2025-11-22,paid_search,Kyrgyz Republic
337,Kelly Myers,gaybryan@example.com,2024-08-28,referral,Antarctica (the territory South of 60 deg S)
338,Alexandra Kim MD,jennifer96@example.net,2025-02-17,social,Cape Verde
339,Matthew King,tarabutler@example.org,2024-05-02,organic,New Zealand
340,Craig Hernandez,fosterandrew@example.org,2025-08-06,paid_search,Central African Republic
341,Shannon Green,payneamy@example.com,2024-09-09,organic,Norfolk Island
342,Jerry Robertson,leebarry@example.org,2025-08-15,organic,Tunisia
343,Sarah Shelton,thomasjackson@example.org,2025-08-31,paid_search,Greenland
344,Megan Sims,rthomas@example.net,2024-02-10,organic,Pakistan
345,Michelle Cooke,crystalquinn@example.com,2025-09-26,organic,Bermuda
346,Marissa Powell,kimberly27@example.com,2024-03-24,social,Vietnam
347,Brittany Davis,wsanchez@example.com,2025-03-05,social,New Caledonia
348,Joshua Bailey,wagnermichaela@example.com,2025-11-04,paid_search,French Polynesia
349,Kylie Walsh,thomasshawn@example.com,2025-08-20,organic,Spain
350,James Ramirez,rodriguezbenjamin@example.net,2025-08-01,social,Saint Helena
351,Cheryl Hanson,brownkathy@example.org,2025-06-19,email,Latvia
352,William George,tstevens@example.org,2024-11-19,referral,Poland
353,Antonio Gray,kayla66@example.com,2024-09-24,social,Italy
354,Ronald Hart,mschneider@example.net,2024-07-28,paid_search,North Macedonia
355,Timothy Shaffer,michellecastro@example.net,2025-11-16,paid_search,Denmark
356,Marco Arnold,peterguzman@example.com,2024-11-17,social,Syrian Arab Republic
357,Melinda Garrison,uvillanueva@example.com,2024-09-01,paid_search,Mauritania
358,Gabriela Smith,pharper@example.net,2024-09-28,email,Mauritius
359,Ashley White,beckjoseph@example.com,2025-02-09,direct,South Georgia and the South Sandwich Islands
360,Derek Brown,cynthia61@example.com,2024-05-14,email,Comoros
361,Abigail Farrell,fbrandt@example.net,2025-11-18,organic,Austria
362,Ashley Porter,ghernandez@example.net,2025-10-22,social,Norfolk Island
363,Jasmine Gonzales,stanleyrobert@example.com,2024-11-03,organic,South Georgia and the South Sandwich Islands
364,Eric Herrera,houseregina@example.com,2025-04-13,email,Wallis and Futuna
365,Debra Deleon,reevesjoshua@example.net,2024-11-19,direct,Bolivia
366,Patricia Hall,dorothy42@example.org,2024-03-15,organic,Kyrgyz Republic
367,Alexandra Johnson DDS,smithwilliam@example.net,2024-01-10,direct,Slovenia
368,William Bradley,leehenderson@example.com,2025-04-14,direct,Denmark
369,Joshua Rasmussen,englishdebbie@example.org,2025-09-28,paid_search,Malawi
370,Scott Wright,jonathon27@example.org,2025-07-30,paid_search,Mauritania
371,Matthew Curtis,vickie93@example.org,2024-04-12,paid_search,Eritrea
372,Larry Miller,reyesstacey@example.com,2024-03-16,paid_search,Andorra
373,Mariah Perez,mgross@example.org,2025-07-04,paid_search,Antigua and Barbuda
374,Gary Johnson,thompsonkimberly@example.org,2024-08-06,social,Isle of Man
375,Laura Howe,esparzakatherine@example.net,2025-06-02,paid_search,Haiti
376,Taylor Chambers,kcarter@example.net,2024-09-28,organic,Saint Pierre and Miquelon
